HVH_107_12_000013_000012	新门
HVH_107_12_000013_000013	必故所慎出入面防查
HVH_107_12_000013_000014	府物输溢医门输北倉库
HVH_107_12_000013_000015	非财物之者必有痛教病之
HVH_107_12_000013_000016	京最将之地故重于州群
HVH_107_12_000013_000017	面府之城齐是国家禁
HVH_107_12_000013_000018	库而官在者州
HVH_107_12_000013_000019	有大小之删故定罪有重之
HVH_107_12_000013_000020	一體俱生重制资官物三字
HVH_107_12_000013_000021	皇慈律例
HVH_107_12_000013_000022	卷十二常盗上十三
HVH_107_12_000013_000023	盈城门铺
HVH_107_12_000014_000001	盗军器
HVH_107_12_000014_000002	凡盗
HVH_107_12_000014_000003	領軍器者
HVH_107_12_000014_000004	在家
HVH_107_12_000014_000005	加衣甲刀
HVH_107_12_000014_000006	弓之類
HVH_107_12_000014_000007	計賊以
HVH_107_12_000014_000008	凡盗論若盗應禁軍器者
HVH_107_12_000014_000009	如人甲
HVH_107_12_000014_000010	傍牌火筒
HVH_107_12_000014_000011	私有之罪同若行軍
HVH_107_12_000014_000012	之所及宿衞軍人相盗入已者准凡盗
HVH_107_12_000014_000013	軍器者官物也然單人既已関領在
HVH_107_12_000014_000014	黑科仍畫刺字本法若應禁之单
HVH_107_12_000014_000015	罪而盗者同之同科拟有之罪而
HVH_107_12_000014_000016	盗者仍盡刺宇本法于軍人皆是
HVH_107_12_000014_000017	皇越律例
HVH_107_12_000014_000018	卷十三律鉴上十三
HVH_107_12_000014_000019	盗單器
HVH_107_12_000014_000020	應用軍器之人師軍之時宿之
HVH_107_12_000014_000021	而仍充官用则各被入已罪二等
HVH_107_12_000014_000022	备者承軍宿衛二项面言益同
HVH_107_12_000014_000023	在軍伍概與常人不同行軍宿衛
HVH_107_12_000014_000024	異常時故得
HVH_107_12_000014_000025	稍宽其法也
HVH_107_12_000014_000026	條侧
HVH_107_12_000014_000027	一拿获偷盗軍器之犯除犯該流者仍
HVH_107_12_000014_000028	依律辨理外其犯該徒杖者照
HVH_107_12_000014_000029	加一等治罪仍於犯事處加枷號一個
HVH_107_12_000014_000030	月其當買軍器之人减本犯罪一等發
HVH_107_12_000014_000031	落
HVH_107_12_000015_000001	盗圆陵樹木
HVH_107_12_000015_000002	房
HVH_107_12_000015_000003	凡盗国陵内樹木者皆
HVH_107_12_000015_000004	不分
HVH_107_12_000015_000005	首夜
HVH_107_12_000015_000006	杖一百徒三
HVH_107_12_000015_000007	年若盗他人墳内樹木者杖八十
HVH_107_12_000015_000008	一等
HVH_107_12_000015_000009	尊超公取取告
HVH_107_12_000015_000010	益修内云不石重器
HVH_107_12_000015_000011	开人自所条将
HVH_107_12_000015_000012	帝王之有放日四没制股乃重
HVH_107_12_000015_000013	本感未默周米
HVH_107_12_000015_000014	成查此候他人坐
HVH_107_12_000015_000015	勘木歌散面去方
HVH_107_12_000015_000016	以签验若我术联
HVH_107_12_000015_000017	截是未成也故证
HVH_107_12_000015_000018	日伪以陶数分
HVH_107_12_000015_000019	酸言之伏
HVH_107_12_000015_000020	院本雖不取
HVH_107_12_000015_000021	党得止队按酸无律
HVH_107_12_000015_000022	其本徒教之罪除别守常人
HVH_107_12_000015_000023	关陵樹木绿也
HVH_107_12_000015_000024	樹木計骤值二十两侯監守益溢故
HVH_107_12_000015_000025	皇越律例卷十
HVH_107_12_000015_000026	别律贼盗上十四
HVH_107_12_000015_000027	查国陵水
HVH_107_12_000015_000028	百徒三年矣再加一等则杖一百流
HVH_107_12_000015_000029	二千五百里色常人溢做此如益他
HVH_107_12_000015_000030	28
HVH_107_12_000015_000031	人墳整樹木計感三十依翰
HVH_107_12_000015_000032	荫杖九十是重于本律杖入十再
HVH_107_12_000015_000033	如一等则树一百也各加者各照
HVH_107_12_000015_000034	守常人竊隆而分别即之也不言啊
HVH_107_12_000015_000035	刺而盗取物器石者計赋准
HVH_107_12_000015_000036	九经瀚免索令盗国胶木典益
HVH_107_12_000015_000037	大配物者有其查他人坐谢木
HVH_107_12_000015_000038	者亦與取諸家者不同故皆得免
HVH_107_12_000015_000039	刺技監常稿盗皆饼
HVH_107_12_000015_000040	。
HVH_107_12_000015_000041	前罪此註曰入已侯考
HVH_107_12_000015_000042	條例
HVH_107_12_000015_000043	一車馬過
HVH_107_12_000015_000044	陵者及守
HVH_107_12_000015_000045	陵官民入
HVH_107_12_000016_000001	者百步外下車逮者以大不敬論杖一百
HVH_107_12_000016_000002	一几
HVH_107_12_000016_000003	山陵前後各有禁限盗竹包以内樹株及
HVH_107_12_000016_000004	竹包外官椒松樹者舆取土取石設
HVH_107_12_000016_000005	烧炭放火烧山者亦照益研木植例首
HVH_107_12_000016_000006	犯斬立决爲從近克軍守
HVH_107_12_000016_000007	陵官軍犯者罪各加凡人一等失覺者罪各城
HVH_107_12_000016_000008	凡人一等如有乾枯樹木不行報官私
HVH_107_12_000016_000009	自者計照守自盗律
HVH_107_12_000016_000010	一凡子孙將祖父墳垒前所植之樹不私
HVH_107_12_000016_000011	自诉者計臟准竊鉴加一等如有乾
HVH_107_12_000016_000012	皇律例一卷三
HVH_107_12_000016_000013	刑律藏盛上十五
HVH_107_12_000016_000014	盗图陵木
HVH_107_12_000016_000015	樹木不報本族私研責者照不應
HVH_107_12_000016_000016	重律杖入看境人及奴僕盗賣者罪同
HVH_107_12_000016_000017	盗賣他人墳樹木碑石磚尾並計
HVH_107_12_000016_000018	臟准益諭免刺姦徒知情私買者係
HVH_107_12_000016_000019	子孙盗賣其私買者臧子孙盗罪一
HVH_107_12_000016_000020	等若係他人盗责者其私買人典益
HVH_107_12_000016_000021	人同罪不知情者不坐
HVH_107_12_000017_000001	来看原不液
HVH_107_12_000017_000002	监守自盗庫錢
HVH_107_12_000017_000003	錫雅五相觉察反
HVH_107_12_000017_000004	私借按检测移白
HVH_107_12_000017_000005	几監主守自浴含庫錢糧等物不分首
HVH_107_12_000017_000006	實事在官财务情茶
HVH_107_12_000017_000007	银四雨各分四
HVH_107_12_000017_000008	入已通算作一美其十人各得十
HVH_107_12_000017_000009	罪背新苦人共益五雨皆故一百之
HVH_107_12_000017_000010	一分五厘上不圈时下不
HVH_107_12_000017_000011	徐修
HVH_107_12_000017_000012	准此
HVH_107_12_000017_000013	月以下滞不
HVH_107_12_000017_000014	及一调也部少至分
HVH_107_12_000017_000015	一两以下放入十
HVH_107_12_000017_000016	散察杖入十一之
HVH_107_12_000017_000017	上南出一花对包
HVH_107_12_000017_000018	一雨之上至二两五錢龙巾
HVH_107_12_000017_000019	下不言省天
HVH_107_12_000017_000020	即多佳分数亦
HVH_107_12_000017_000021	五雨杖一百
HVH_107_12_000017_000022	七阴五錢杖六十徒一年
HVH_107_12_000017_000023	皇越律例
HVH_107_12_000017_000024	卷十一圣上十六
HVH_107_12_000017_000025	監守自含草舞标
HVH_107_12_000017_000026	一十雨杖七十徒一年半
HVH_107_12_000017_000027	一十二两五錢杖八十徒二年
HVH_107_12_000017_000028	1
HVH_107_12_000017_000029	一十五雨杖九十徒二年牛
HVH_107_12_000017_000030	一十七五錢杖一百徒三年
