HVH_107_03_000013_000006	之類及其輕罪雖因首重罪
HVH_107_03_000013_000007	盎赋数拾主
HVH_107_03_000013_000008	如益事自首又
HVH_107_03_000013_000009	上若因問被告之事而别言罪
HVH_107_03_000013_000010	盗罪
HVH_107_03_000013_000011	止科见罪名免其
HVH_107_03_000013_000012	人财物止料私之罪除罪俱得免定
HVH_107_03_000013_000013	者正已费不征
HVH_107_03_000013_000014	爲已面自黄
HVH_107_03_000013_000015	也知共徒得起自
HVH_107_03_000013_000016	答隐者之首及
HVH_107_03_000013_000017	鲜
HVH_107_03_000013_000018	联互
HVH_107_03_000013_000019	不羲長开于存看征
HVH_107_03_000013_000020	既行免久不通
HVH_107_03_000013_000021	各聽知罪人身自首法人意
HVH_107_03_000013_000022	人代首者謂如
HVH_107_03_000013_000023	里越律侧
HVH_107_03_000013_000024	士
HVH_107_03_000013_000025	把罪自百
HVH_107_03_000013_000026	费者然雷
HVH_107_03_000013_000027	甲那遣汇代首不殊亦同自
HVH_107_03_000013_000028	除交生物
HVH_107_03_000013_000029	首及相告言者皆典罪人自首同得免
HVH_107_03_000013_000030	實不书之罪罪之
HVH_107_03_000013_000031	不盡之数料之
HVH_107_03_000013_000032	自首数不盡者止
HVH_107_03_000013_000033	至死者聽减一等其知人欲告及避
HVH_107_03_000013_000034	之類
HVH_107_03_000013_000035	等坐之其叛者不自首能復歸本
HVH_107_03_000013_000036	所者减罪二等0其损傷於人
HVH_107_03_000013_000037	傷人
HVH_107_03_000013_000038	四纪
HVH_107_03_000014_000001	本物见在有者同首决免罪
HVH_107_03_000014_000002	越度姦者並不在自首之律。若
HVH_107_03_000014_000003	注相告言者是親
HVH_107_03_000014_000004	牛日各犯有异偶
HVH_107_03_000014_000005	强竊盗詐欺取人财物而放事主處首
HVH_107_03_000014_000006	如兄窃益财
HVH_107_03_000014_000007	念争题互相证条
HVH_107_03_000014_000008	服及受人枉法不枉法臟悔過回付歸
HVH_107_03_000014_000009	刻邱信此告言
HVH_107_03_000014_000010	将免罪指他人受
HVH_107_03_000014_000011	主者典經官司自首同皆得免罪若知
HVH_107_03_000014_000012	害之事养言自己
HVH_107_03_000014_000013	受害之事也如
