HVH_107_02_000014_000002	公事得罪者日公罪
HVH_107_02_000014_000003	凡
HVH_107_02_000014_000004	一您不係私已而因
HVH_107_02_000014_000005	凡内外大小文武官犯公罪該答者一十
HVH_107_02_000014_000006	罰俸一個月二十三十各加一月
HVH_107_02_000014_000007	雨月三
HVH_107_02_000014_000008	十罚三月
HVH_107_02_000014_000009	四十五十各加三月
HVH_107_02_000014_000010	四十
HVH_107_02_000014_000011	肾大
HVH_107_02_000014_000012	九月
HVH_107_02_000014_000013	一级八十降二级九十降三级俱留任
HVH_107_02_000014_000014	一百降四级調用吏典犯者答杖失
HVH_107_02_000014_000015	仍役
HVH_107_02_000014_000016	公罪都得罪由于公错在事有罪于
HVH_107_02_000014_000017	已無私無心過誤失于觉察者皆是
HVH_107_02_000014_000018	治其答杖之罪何不的失即照律文
HVH_107_02_000014_000019	答杖多寡之数分别伴降叛留任
HVH_107_02_000014_000020	闰用之差等更興的失准留
HVH_107_02_000014_000021	皇律侧
HVH_107_02_000014_000022	卷二名创上
HVH_107_02_000014_000023	三
HVH_107_02_000014_000024	官把公弄
HVH_107_02_000014_000025	原其罪
HVH_107_02_000014_000026	由于公也
HVH_107_02_000015_000001	文武官犯私罪不公已所
HVH_107_02_000015_000002	自犯备篇私罪
HVH_107_02_000015_000003	凡内外大小文武官犯私罪該答者一十
HVH_107_02_000015_000004	罰俸兩個月二十罰三個月三十四
HVH_107_02_000015_000005	三十大月十
HVH_107_02_000015_000006	年杖者六十降一级七十降二版八
HVH_107_02_000015_000007	十降三级九十降四级俱月一百革
HVH_107_02_000015_000008	職雕任
HVH_107_02_000015_000009	犯者不吏典犯者杖六十以
HVH_107_02_000015_000010	在此限
HVH_107_02_000015_000011	上谨役
HVH_107_02_000015_000012	私罪謂得罪岗于私意有心故犯非
HVH_107_02_000015_000013	公错事即因公已實有私者皆是
HVH_107_02_000015_000014	放則革職不得比于罪之倒吏典
HVH_107_02_000015_000015	则自杖罪以上皆罷役所以宽于公
HVH_107_02_000015_000016	星越律馆
HVH_107_02_000015_000017	卷二名创缝
HVH_107_02_000015_000018	古
HVH_107_02_000015_000019	天武官把罪
HVH_107_02_000015_000020	嚴千私也以上二益国官所
HVH_107_02_000015_000021	犯不一稳不越公私雨凡不保记
HVH_107_02_000015_000022	庶故犯者不得体免面误我者亦不
HVH_107_02_000015_000023	至克
HVH_107_02_000015_000024	柳矣
HVH_107_02_000015_000025	條例
HVH_107_02_000015_000026	一文武官员及吏典兵役但有職役之人
HVH_107_02_000015_000027	犯姦盗詐偽并一應私罪名俱發為
HVH_107_02_000015_000028	民遇
HVH_107_02_000015_000029	赦取问明白罪雖
HVH_107_02_000015_000030	省免仍去職役
HVH_107_02_000016_000001	一凡外任各官遇有錢粮刑名事件應行
HVH_107_02_000016_000002	革職者該管官通参時即行持郎委
HVH_107_02_000016_000003	員署理侯奉
