HVH_106_000016_000018	之儒卡或脑宋皇之明察
HVH_106_000016_000019	1
HVH_106_000017_000001	勤政
HVH_106_000017_000002	206y
HVH_106_000017_000003	以勤者帝王之盛日收公店親决事機時時引輔
HVH_106_000017_000004	臣面談政理非不勤也但连之事急於幾圖未免
HVH_106_000017_000005	有一暴+寒之間断聲色之娛勝談理莫勵夫十起
HVH_106_000017_000006	三握之憂勤
HVH_106_000017_000007	敬天
HVH_106_000017_000008	謂务莫大敬天則昭事有殿占候有官事天非不證也
HVH_106_000017_000009	然陶秸還為祈禱之虚文而豫驅馳未尽
HVH_106_000017_000010	巫代改告
HVH_106_000017_000011	勤赛浓天
HVH_106_000017_000012	十七
HVH_106_000017_000013	夫敬怒敬渝之意蒙星徒守推步之成法而恐惧
HVH_106_000017_000014	修未證一言一動之間
HVH_106_000017_000015	勤農
HVH_106_000017_000016	以農者天下之大本則功課有官题羌有令未嘗少忽也
HVH_106_000017_000017	然田之法未復於先玉兼并之端未懲於宿
HVH_106_000017_000018	半八世家而始回之民不復有立维之地沃壤併歸
HVH_106_000017_000019	豪党而力田之無以盈百室之
HVH_106_000017_000020	體臣
HVH_106_000018_000001	或尊以高官或隆以殊礼而且丁宁慰劳之辞或给
HVH_106_000018_000002	珍膳或賜以御袍而且提曲詩章之賜体之道
HVH_106_000018_000003	然名分徒拘於堂陛而對刺视朝之外未心常恭
HVH_106_000018_000004	接之心芳位易隔於尊卑而一体以親之中未免有易
HVH_106_000018_000005	陵之失
HVH_106_000018_000006	獄訟
HVH_106_000018_000007	謂獄訟天下之大事則勘断之有其官覆鳴之有其例
HVH_106_000018_000008	嘗不欲獄訟之止息之也但奉行未尽得其当也公正不
HVH_106_000018_000009	厦代成区
HVH_106_000018_000010	法隆银门
HVH_106_000018_000011	大武重员饭
HVH_106_000018_000012	遵條例而勾催送務以营誰為辨曲直之理妄
HVH_106_000018_000013	鳴莫究於事由而芳打鞭答專以求利無由分真偽
HVH_106_000018_000014	之情舞文之猾吏從得以撓其權郎陰賄以休单何曾
HVH_106_000018_000015	有覆覆查弄法之頑民得以施其巧郎而妄
HVH_106_000018_000016	找以停越鳴越啓之甘风
HVH_106_000019_000001	遵照
HVH_106_000019_000002	音
HVH_106_000019_000003	皇朝明命政要卷
HVH_106_000019_000004	绍治五年乙七秋
HVH_106_000019_000005	謹抄
HVH_106_000019_000006	皇朝政要
HVH_106_000019_000007	1
HVH_106_000019_000008	家
HVH_106_000019_000009	皇朝政要目錄
HVH_106_000019_000010	敬天
HVH_106_000019_000011	法油
HVH_106_000019_000012	求贤
HVH_106_000019_000013	審官
HVH_106_000019_000014	勤政
HVH_106_000019_000015	黨北
HVH_106_000019_000016	鞋親
HVH_106_000019_000017	體臣
HVH_106_000019_000018	崇绘
HVH_106_000019_000019	崇文
HVH_106_000019_000020	奋政
HVH_106_000019_000021	礼樂
HVH_106_000019_000022	教化
HVH_106_000019_000023	制
HVH_106_000019_000024	慎刑
HVH_106_000019_000025	遣
HVH_106_000019_000026	柔遠
HVH_106_000019_000027	廣言路
HVH_106_000019_000028	固封守
HVH_106_000019_000029	慎賦财
HVH_106_000019_000030	審法度
HVH_106_000020_000001	敬天
HVH_106_000020_000002	謹按易乾度日上天将降嘉瑞河水先清京房
HVH_106_000020_000003	傳日河清天下平考諸往火唐貞见河清于陕州
HVH_106_000020_000004	永樂河清于蒲津間世一見尔我
HVH_106_000020_000005	世祖高祖皇帝以聖天命嘉定河清配见十八年
HVH_106_000020_000006	太平之盛比其兆也我
HVH_106_000020_000007	皇上即政来勤民重農慎薄飲儿政令之施無一不
HVH_106_000020_000008	當故三年河清五年河復清天盖以是太平之
HVH_106_000020_000009	皇润政要卷八卷
HVH_106_000020_000010	设天
HVH_106_000020_000011	大城堂藏板
HVH_106_000020_000012	象非偶然也然聖心冲把不自满是方且嚴恭長
HVH_106_000020_000013	不敢以太平自訖所謂謙尊而愈光者矣貞见永樂
HVH_106_000020_000014	之治何足語乎
HVH_106_000020_000015	謹案天人交感之理至為不诬朱景公一善言
HVH_106_000020_000016	而熒惑退舍景愁多善行曾不多见徒以一言之
HVH_106_000020_000017	善而天應况乎者于上下以永天意感應當
HVH_106_000020_000018	你哉奉我
HVH_106_000020_000019	皇上憲分素学干人而钦恭一念不少或忽方
HVH_106_000020_000020	I
HVH_106_000021_000001	之見也天以為豊蒸之徵盖共人火之言不祥者是
HVH_106_000021_000002	矣我
HVH_106_000021_000003	皇上谨恪天戒避殿减膳修政司市思九所以應天者
HVH_106_000021_000004	有實事豈惟一善而已哉卒星述滅其為聖
HVH_106_000021_000005	感天之實盖可見矣
HVH_106_000021_000006	謹案人事之得失實天地之氣相為感通昔孝归
HVH_106_000021_000007	含三年不雨之失也来太宗时入旱審刑而雨乃
HVH_106_000021_000008	降青人以事修而无道應誠不竭心奉我
HVH_106_000021_000009	主新改要善卷
HVH_106_000021_000010	CK
