HVH_107_15_000014_000019	皇越律创一卷
HVH_107_15_000014_000020	刘律周版上十
HVH_107_15_000014_000021	数制使及本管長官
HVH_107_15_000014_000022	軍士本管官吏卒殿本部五
HVH_107_15_000014_000023	以上長官之佐贰则裁長官罪一等
HVH_107_15_000014_000024	6
HVH_107_15_000014_000025	敬者杖九十徒二年牛傷者放一百
HVH_107_15_000014_000026	牛折傷者做入
HVH_107_15_000014_000027	十徒
HVH_107_15_000014_000028	品以下長官及佐贰首領官面言
HVH_107_15_000014_000029	但以品级為笔三品以上官政者
HVH_107_15_000014_000030	官城二等者杖六十徒一年者
HVH_107_15_000015_000001	杖八十徒二年折傷者杖九十徒二
HVH_107_15_000015_000002	年牛若域二等各罪有整于几或
HVH_107_15_000015_000003	典相等者各照几闻本律罪上加二
HVH_107_15_000015_000004	等料之及殿傷九品以上官者典
HVH_107_15_000015_000005	傷至折傷以上亦各照凡用本律罪
HVH_107_15_000015_000006	死依凡人開殿人常律此三品
HVH_107_15_000015_000007	五品九品以上階信馆之品级非
HVH_107_15_000015_000008	其義名之重故傷
HVH_107_15_000015_000009	之法若至篤疾则刑已重故只以凡
HVH_107_15_000015_000010	加二等也其公使不職官之人
HVH_107_15_000015_000011	奉在外殿打所在有司官者知
HVH_107_15_000015_000012	流处官教非本管官律照品数
HVH_107_15_000015_000013	科自被段處所属上司拘周
HVH_107_15_000015_000014	條例
HVH_107_15_000015_000015	一凡軍民人等受死在京任官员照
HVH_107_15_000015_000016	死本管官律擬断監候若謀死者擬
HVH_107_15_000015_000017	皇越律例一人卷五
HVH_107_15_000015_000018	刑律上西
HVH_107_15_000015_000019	酸制使及本長官
HVH_107_15_000015_000020	立央
HVH_107_15_000015_000021	一部民軍士吏卒犯罪在官如有不服
HVH_107_15_000015_000022	拿不遵審斷或依挟私及假地方公
HVH_107_15_000015_000023	事挺身堂逞兒殺害本官者拿獲之
HVH_107_15_000015_000024	日無論本官品及有無謀故已殺者
HVH_107_15_000015_000025	不分首從皆立决已傷者爲首照光
HVH_107_15_000015_000026	棍例斬决爲從下手者狡候其聚四
HVH_107_15_000015_000027	五十人者仍定伪科罪其非本属
HVH_107_15_000015_000028	本管本部各官有犯或該管官任意陵
HVH_107_15_000015_000029	虐及不守官箴自取侮等者各按其情
HVH_107_15_000015_000030	罪輕重臨時的量比引辦理
HVH_107_15_000016_000001	一軍民人等傷本管官及非本管官
HVH_107_15_000016_000002	係近干犯照律問擬流徒或本管官
HVH_107_15_000016_000003	與軍民人等飲酒赌博宿媚自取辱
HVH_107_15_000016_000004	者俱照凡定拟其有衅起索欠等事
HVH_107_15_000016_000005	本非理曲因而有犯者各照傷應得
HVH_107_15_000016_000006	流徒原律酌减二等問罪其自行取
HVH_107_15_000016_000007	及負欠之職官交部議處
HVH_107_15_000016_000008	皇律侧
HVH_107_15_000016_000009	砂便及中管長官
HVH_107_15_000017_000001	佐職統屬長官
HVH_107_15_000017_000002	凡本衙門首領官及所統屬官殿傷長官
HVH_107_15_000017_000003	者各减吏卒傷長官二等
HVH_107_15_000017_000004	不言折
HVH_107_15_000017_000005	不言傷者
HVH_107_15_000017_000006	以最
HVH_107_15_000017_000007	有分儿用
HVH_107_15_000017_000008	胡其有属
HVH_107_15_000017_000009	等科之加長官是五品以
