HVH_103_000017_000016	即
HVH_103_000017_000017	赤斤古周西戎戰國月氏秦汉属句奴武帝西為泉墩煌唐末汉吐宋入永
HVH_103_000017_000018	步年担丞相苦术-塔力尼率五百人来汉赤广蒙古十户所以塔力千印寻
HVH_103_000017_000019	望為路力為揮會事二年遣日南吉利刺献救房老的指揮庚
HVH_103_000017_000020	塔尼半且旺朱加嗣宣务不绝内白多木禽產金驰马内自
HVH_103_000018_000001	土鲁蕾隔哈家人遂散乱
HVH_103_000018_000002	安定阿端
HVH_103_000018_000003	soLl'8
HVH_103_000018_000004	NARRO
HVH_103_000018_000005	61t1
HVH_103_000018_000006	定安越祖别部巴地千里每城其馬乳帳為屋馬駝王石洪
HVH_103_000018_000007	武七年撒里兒定王烟木或口丹遗使貢甲刀刷金合分
HVH_103_000018_000008	商長為阿端阿真苦里四部-煙帖木印仍称安定王八年故安
HVH_103_000018_000009	定阿端二微统四部烟帖不兒半选使漏叁鸡嗣土动浩金倚王遗使贡谢
HVH_103_000018_000010	家为初先叛单天顺三第定遗使前自後貢不绝成化中
HVH_103_000018_000011	土鲁伐被遂属土普番安王苗裔無考
HVH_103_000018_000012	皇明四夷考
HVH_103_000018_000013	七
HVH_103_000018_000014	曲先
HVH_103_000018_000015	曲先古西戎部落永四年设曲先衡以土商散恩為指挥同知宣多元年叛
HVH_103_000018_000016	オ平请功加图師禅师已内遣人入貢正二年日里麻遣指揮火
HVH_103_000018_000017	丁前揭嘉靖中人牙木蘭為尚沙牙木蘭勇土鲁番時
HVH_103_000018_000018	全单侯哈甘甫已土鲁番贰擁長来土清还
HVH_103_000018_000019	哈易牙木蘭殺牙木蘭警動永属美之部尚書世寧遂止
HVH_103_000018_000020	當是特大低嘉開西街皆土鲁番不触為藩蔽
HVH_103_000018_000021	罕東
HVH_103_000018_000022	{
HVH_103_000018_000023	42
HVH_103_000019_000001	,
HVH_103_000019_000002	輔德兵討賊言出師夫得致賊今鄧悉死尚百媳老
HVH_103_000019_000003	魏奇人云弓象五又谓我師皆易与宜成慎同協力早育
HVH_103_000019_000004	空稱上皇立陈李為大越皇帝改元重光八月輔败贼于子九月又敗
HVH_103_000019_000005	公太宇海口十月季榜称王请封輔小進兵至清化十月辅獲简之及
HVH_103_000019_000006	偽州相年月召輔令晟節制軍简京伏十二月李遣人
HVH_103_000019_000007	上表信降遣方通歧参為交右市政使又其黨陈原参政
HVH_103_000019_000008	胡具澄景異都指揮潘季被察副使是月季景異復及九年
HVH_103_000019_000009	三月為虜軍會軍成率師之二月七月
HVH_103_000019_000010	皇明考序
HVH_103_000019_000011	輔晟賊于月常江十一月輔车師破贼于海上十年月又賊于神海口
HVH_103_000019_000012	月又破賊江十一年十二月輔會敗賊愛江季十二年月
HVH_103_000019_000013	王京十三年四月以輔为纪夷州軍镇文十四年十一月輔还城
HVH_103_000019_000014	彬代輔十于月清化土官黎利反侯彬遣都督未往勒
HVH_103_000019_000015	初嶺季擴為壹吾州軍已而來修令为土延輔還遂反手王弟黎
HVH_103_000019_000016	石為祠國改都督聚賊范柳范晏学好出劫掠广玉
HVH_103_000019_000017	擒晏利通去彬请就交趾晏学狗月右布政使莫勋及
HVH_103_000019_000018	州知府社希望令丞黎献率家人五百力北京十七年延按御史黄
HVH_103_000019_000019	.
HVH_103_000020_000001	州軍总号讨利六月
HVH_103_000020_000002	宣宗即位命行到部侍郎戴绵副冷智軍移八月贼院可郎伏
HVH_103_000020_000003	十一月初智及安平伯安都督方政及三司賊利色藏祸心已把一日始若易
HVH_103_000020_000004	取误信人言情多招将這今八年小命忠目罹害良民被毒其谁
HVH_103_000020_000005	過智举其急進各榜協和成功來不捷佛罷是月
HVH_103_000020_000006	20
HVH_103_000020_000007	上業交英图公輔尚書義原吉皆日子葉祠内士奇荣皆称善
HVH_103_000020_000008	宣德元年三智政讨利進出茶州改绩四月成山侯通為夷
HVH_103_000020_000009	軍总兵都督马瑛参讨贼尚書给仍赞参軍格安平伯安掌交
HVH_103_000020_000010	复明墨考序
HVH_103_000020_000011	都司事削智政官爵五月赦此十一月通举賊败千二月贼攻清化
HVH_103_000020_000012	州利引去要達升為征虏副州軍总保伯铭左副德都督崔
HVH_103_000020_000013	聚右参西國公為征南州軍总兵安伯左副德寧伯
HVH_103_000020_000014	忠右副总兵由雲南率兵雨道讨賊部尚書李慶参赞軍務工部尚書兼
HVH_103_000020_000015	詹黄福仍掌交布按司事勅通守协综侯升等进二年正月
HVH_103_000020_000016	上念久用号劳费又词大士奇荣力赞上止兵葉交便利攻交通等
HVH_103_000020_000017	败云新偽司德司空大尉少尉大监黎易等四月利昌江通創兵子出贼
HVH_103_000020_000018	書通請知通遂许清化州地与賊遣指揮忠与利遣人上表寅方
HVH_103_000021_000001	宗载言趾八版圈劳来尤得人今府州多雨重南岁寅生及下第
HVH_103_000021_000002	奉人未八國学乞仕遠方遂授以既之大季考素又非同试才以
HVH_103_000021_000003	牧民了知梅字理刑语法若候九年點涉弛益多宜令到任
HVH_103_000021_000004	二第以上车延按御史及布按二司嚴其兼汗能否上收點之
HVH_103_000021_000005	十六年五月勅侯彬叛寇黎利潘僚車三農等造今未旗未
HVH_103_000021_000006	何時得息民何時得安宜心畫方男早减此賊交趾参侯保贵
HVH_103_000021_000007	讨贼戰死十九年五月彬请九月彬言利我進号讨捕老
HVH_103_000021_000008	遣頭目覽郎我入境即大索判送軍行久之
HVH_103_000021_000009	宝明里方亭
HVH_103_000021_000010	了獲利
HVH_103_000021_000011	上日老医赋接端令彬遣頭目出京之是参教利以為法化知府造内山
HVH_103_000021_000012	询利字二年仁崇即位召福迁以治為号部尚書代福是冬交参
HVH_103_000021_000013	将保官侯瑛荣昌伯智言壽未利反改大理寺卿陽時按察
HVH_103_000021_000014	谦為布政使内官马强自交还未教下内國書勅此
HVH_103_000021_000015	舞壹銀珠香内调覆请
HVH_103_000021_000016	上西色曰联安得与此茶軍卿學亦召
